Name
Luisine
 ani 
Abel
Abgar
Abraham
Abul
Ada
Adam
Adriana
Aelita
Aga
Agapi
Agasi
Aghasi
Aghavni
Aghunik
Agnesa
Aharon
Aksanna
Aksel
Albina
Aleksan
Aleksandra
Aleksei
Aleksey
Alen
Alena
Aleqsan
Alex
Alexan
Alexander
Alexandr
Alexandra
Alexey
Alfred
Ali
Alice
Alin
Alis
Alisa
Alita
Almast
Alvard
Alvina
Alyona
Amalik
Amalya 
An
Anaida
Anait
Anania
Anastasia
Anastasiia
Anastasiya
Ando
Andre
Andreas
Andrei 
Aneta
Angel
Angelika
Angelina
Angin
Anita
Anjel
Anjela
Anjelika
Ann
Anni
Annie
Anoush
Anri
Anton
Antranik
Anul
Anushavan
Any
Anya
Anyuta
Anzhel
Anzhelika
Ar
Araik
Arakel
Araks
Araksi
Araksya
Aramazd
Araqs
Araqsya
Ararat
Araz
Arbak
Arbi
Arcrun
Arega
Aregnaz
Ares
Arev
Arevhat
Argam
Argine
Argisht
Argishti
Arik
Arin
Arina
Arine
Aris
Aristakes
Arkadi
Arm
Armanush
Armenak
Armida
Armik
Armin
Armina
Armineh
Arminka
Armond
Arnak
Arno
Arnold
Aro
Arpenik
Arpik
Arpy
Arshaluys
Arsham
Arshavir
Arsine
Art
Artash
Artem
Arthur
Arto
Artsrun
Artsvik
Artush
Arusik
Asatur
Ash
Ashxen
Asmik
Aspram
Astgh
Astx
Astxik
Atom
Avag
Avedis
Avet
Avetiq
Avetis
Avik
Avo
Axavni
Axunik
Aza
Azatuhi
Azganush
Azniv
Bagrat
Bela
Bella
Benik
Benyamin
Bogdan
Caxik
Chant
Christina
Christine
Covinar
Daniel
Daniil
Danil
Daria
Darya
David
Davo
Dayana
Denis
Derenik
Dero
Dianna
Dima
Dina
Dmitri
Dmitrii
Dmitriy
Dmitry
Donara
Dro
Ed
Edik
Edita
Edmon
Edmond
Edo
Edvard
Edvin
Edward
Egor
Ekaterina
El
Eleonora
Elita
Eliza
Elizabet
Elizabeth
Elizaveta
Ella
Ellada
Ellen
Elvina
Elvira
Elya
Elyanora
Elza
Emanuel
Emilia
Emily
Emilya
Emin
Emmi
Eranuhi
Eric
Erick
Erika
Erna
Ernest 
Ero
Ervand
Esfira
Eteri
Eva
Evgenia
Evgenii
Evgeniia
Evgine
Feliks
Fenya
Flora
Frida
Frunze
Gabriel
Gabriella
Gag
Gago
Galina
Galust
Galya
Garo
Garri
Garush
Gaspar
Gaya
Gegam
Geghetsik
Genya
George
Georgy
Gerasim
Gevor
Gevork
Gexam
Gexecik
Ghazar
Ghevond
Ghukas
Gnel
Gog
Goga
Gohar
Goharik
Goqor
Grig
Grigory
Grish
Grisha
Gyulnara
Habet
Hagop
Haig
Haik
Hamaspyur
Hambardzum
Hamest
Hamik
Hamo
Harout
Harutyunyan
Has
Hayarpi
Hayastan
Haykanush
Hayko 
Haykush
Hayrapet
Hegine
Helen
Heno
Henrikh
Henry
Heriknaz
Heriqnaz
Hexine
Hilda
Hmayak
Hov
Hovakim
Hovhanes 
Hovig
Hrachik
Hrachuhi
Hrag
Hrahat
Hranush
Husik
Ida
Igor
Ilia
Ilona
Ilya
Ina
Ines
Inesa
Ira
Iren
Irena
Isahak
Ishkhan
Ishxan
Iskuhi
Iuliia
Iurii
Iveta
Izabela
Izabella
Jack
James
Janibek
Janik
Janna
Jasmin
Jemma
Jenya
Jirayr
Jivan
John
Jon
Jor
Jora
Juleta
Juli
Julia
Juliana
JULIANNA
Julie
Julieta
Julietta
Julya
Kajik
Kamo
Kara
Karapetyan
Karin
Karina
Karlos
Karmen
Karolina
Katarina
Katarine
Katerina
Katrin
Katya
Kevork
Khach
Khoren
Kim
Kima
Kirill
Klara
Knar
Knarik
Knkush
Kolya
Konstantin
Koryun
Krikor
Krist
Kristian
Ksenia
Kseniia
Laert
Lala
Lamara
Lana
Lara
Larisa
Lazr
Leon
Leonid
Lernik
Lev
Leyla
Leyli
Lian
Lianna
Lida
Lidia
Lika
Lil
Lili
Liliana
Lilianna
Lilik
Lilith
Liliya
Lily
Lilya
Lina
Liparit
Liza
Lolita
Lora
Loreta
Louisa
Lucine
Lucy
Lus
Lusi
Lusik 
Lusya
Lyov
Lyova
Lyuba
Lyuda
Lyudmila
Lyudvig
Lyusi
Lyusya
Madlen
Madlena
Maga
Magda
Makich
Maksim
Malvina
Mamikon
Man
Manan
Manana
Maneh
Manik 
Manuk
Manushak
Manya
Mar
Mara
Maral
Mareta
Margaita
Margar
Margarit
Margo
Mariana
Marie 
Marieta
Marietta
Mariia
Marinka
Mark
Marlen
Marlena
Maro
Marta
Martiros
Martun
Marusya
Maryam 
Marzpet
Mash
Masha
Masis
Matevos
Max
Maxim
Maya
Mayis
Mayranush
Mekhak
Mel
Melan
Melania
Melanya
Melik
Meliq
Melkon
Mels
Melsida
Menua
Merine
Merri
Merry
Meruj
Merujan
Meruzhan
mery
Metaksya
Metaqsya 
Michael
Michelle
Mika
Mikael
Mike
Mikhail 
Mikhayil
Mila
Milana
Milen
Minas
Miqael
Miqayel
Miqo
Misha
Mkhitar
Mko
Mnacakan
Mnatsakan
Mona
Monica
Monte
Movses
Murad
Musheg
Mxitar
Myasnik
Nadezhda
Nadya
Nahapet
Nairuhi
Nairy
Nana
Nanar
Nane
Nano
Nanul
Napoleon
Nar
Nareg
Nareh
Narin
Natali
Natalie
Nataliia
Natalya
Natela
Natella
Nazar
Nazeli
Nazeni
Nazik
Nektar
Neli
Nellie
Nelly
Nika
Nikita
Niko
Nikolai
Nikolay
Ninel
Njdeh
Nonna
Nora
Norik
Noro
Nshan
Nuard
Nunik
Nushik
Nver
Ofel
Ofelia
Ogannes
Ohan
Ohanes
Ohanna
Oksana
Oksanna
Oleg
Olga
Olya
Onex
Onik
Ophelia 
Parandzem
Pargev
Patrick 
Patvakan
Paul
Pavel
Paylak
Paytsar
Perchuhi
Petik
Petr
Piruz
Piruza
Poghos
Polina
Qnar
Qnarik
Qrist
Qristina
Radik
Raf
Rafael
Rafaella
Raffi
Rafi
Rafik
Rafo
Raisa
Raya
Raz
Rebeka
Regina
Revik
Rimma
Ripa
Ripsime
Rita
Rob
Roland
Romela
Romella
Romen
Romik
Rose
Rozi
Rubik
Rubina
Rudik
Rudolf
Ruslan
Rustam
Ruz
Sako
Sam
Samo
Samson
Samuel
Sanasar
Saq
Saqo
Sara
Sarah
Sarin
Sarine
Sarkis
Sarmen
